Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_459638.T0	IPR002716	PIN domain	-
CopciAB_459642.T0	IPR000757__IPR013320	Glycoside hydrolase family 16__Concanavalin A-like lectin/glucanase domain superfamily	GO:0004553|GO:0005975__-
CopciAB_45965.T0	IPR011009__IPR017441__IPR000719__IPR008271__IPR000961	Protein kinase-like domain superfamily__Protein kinase, ATP binding site__Protein kinase domain__Serine/threonine-protein kinase, active site__AGC-kinase, C-terminal	-__GO:0005524__GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__GO:0004674|GO:0005524|GO:0006468
CopciAB_459666.T0	IPR008949__IPR000092__IPR033749__IPR039702	Isoprenoid synthase domain superfamily__Polyprenyl synthetase__Polyprenyl synthetase, conserved site__Farnesyl pyrophosphate synthase-like	-__GO:0008299__-__GO:0008299|GO:0016765
CopciAB_459680.T0	IPR000210__IPR011333	BTB/POZ domain__SKP1/BTB/POZ domain superfamily	GO:0005515__-
CopciAB_459700.T0	IPR011333__IPR015915__IPR011043__IPR006652	SKP1/BTB/POZ domain superfamily__Kelch-type beta propeller__Galactose oxidase/kelch, beta-propeller__Kelch repeat type 1	-__GO:0005515__-__GO:0005515
CopciAB_45974.T0	IPR001214__IPR046341	SET domain__SET domain superfamily	GO:0005515__-
CopciAB_459750.T0	IPR045032__IPR011050__IPR002022__IPR012334	Pectin lyase family__Pectin lyase fold/virulence factor__Pectate lyase__Pectin lyase fold	GO:0030570__-__-__-
CopciAB_459760.T0	IPR032675__IPR001810__IPR036047	Leucine-rich repeat domain superfamily__F-box domain__F-box-like domain superfamily	-__GO:0005515__GO:0005515
CopciAB_459799.T0	IPR010678__IPR027417	U3 small nucleolar RNA-associated protein 25__P-loop containing nucleoside triphosphate hydrolase	GO:0005730|GO:0006364|GO:0034511__-
CopciAB_459872.T0	IPR029055__IPR033812__IPR000426__IPR001353__IPR023332	Nucleophile aminohydrolases, N-terminal__Proteasome subunit alpha5__Proteasome alpha-subunit, N-terminal domain__Proteasome, subunit alpha/beta__Proteasome alpha-type subunit	-__GO:0019773|GO:0043161__GO:0006511|GO:0019773__GO:0005839|GO:0051603__-
CopciAB_459913.T0	IPR000172__IPR012132__IPR036188__IPR007867	Glucose-methanol-choline oxidoreductase, N-terminal__Glucose-methanol-choline oxidoreductase__FAD/NAD(P)-binding domain superfamily__Glucose-methanol-choline oxidoreductase, C-terminal	GO:0016614|GO:0050660__GO:0050660__-__GO:0016614
CopciAB_459939.T0	IPR012337	Ribonuclease H-like superfamily	-
CopciAB_459983.T0	IPR032675__IPR001810	Leucine-rich repeat domain superfamily__F-box domain	-__GO:0005515
CopciAB_460017.T0	IPR019038__IPR041913	DNA polymerase delta subunit 3__DNA polymerase delta subunit 3 superfamily	GO:0005634|GO:0006260|GO:0043625__-
CopciAB_460042.T0	IPR001841__IPR013083__IPR017907	Zinc finger, RING-type__Zinc finger, RING/FYVE/PHD-type__Zinc finger, RING-type, conserved site	-__-__-
CopciAB_460044.T0	IPR001841__IPR013083__IPR017907	Zinc finger, RING-type__Zinc finger, RING/FYVE/PHD-type__Zinc finger, RING-type, conserved site	-__-__-
CopciAB_460046.T0	IPR041078	Plavaka transposase	-
CopciAB_460235.T0	IPR001356__IPR017970__IPR009057	Homeobox domain__Homeobox, conserved site__Homeobox-like domain superfamily	GO:0003677__GO:0000981|GO:0006355__-
CopciAB_460253.T0	IPR000719__IPR011009	Protein kinase domain__Protein kinase-like domain superfamily	GO:0004672|GO:0005524|GO:0006468__-
CopciAB_460255.T0	IPR024974	Sde2, N-terminal ubiquitin domain	-
CopciAB_460394.T0	IPR039781__IPR006909__IPR036390__IPR023093__IPR006910	Rad21/Rec8-like protein__Rad21/Rec8-like protein, C-terminal, eukaryotic__Winged helix DNA-binding domain superfamily__ScpA-like, C-terminal__Rad21/Rec8-like protein, N-terminal	GO:0007062|GO:0008278__-__-__-__GO:0005515
CopciAB_460395.T0	IPR011876__IPR000086__IPR015797	Isopentenyl-diphosphate delta-isomerase, type 1__NUDIX hydrolase domain__NUDIX hydrolase-like domain superfamily	GO:0004452|GO:0008299__-__-
CopciAB_460401.T0	IPR007699__IPR008978__IPR007052__IPR044563	SGS domain__HSP20-like chaperone__CS domain__Protein Sgt1-like	-__-__-__GO:0051087
CopciAB_460411.T0	IPR003448__IPR036563__IPR028888	Molybdopterin biosynthesis MoaE__Molybdopterin biosynthesis MoaE subunit superfamily__Molybdopterin synthase catalytic subunit, eukaryotes	GO:0006777__GO:0006777__GO:0005829|GO:0006777|GO:0019008|GO:0030366
CopciAB_460443.T0	IPR027417__IPR001650__IPR014001__IPR011545	P-loop containing nucleoside triphosphate hydrolase__Helicase, C-terminal__Helicase superfamily 1/2, ATP-binding domain__DEAD/DEAH box helicase domain	-__-__-__GO:0003676|GO:0005524
CopciAB_460474.T0	IPR032675__IPR036047__IPR001810	Leucine-rich repeat domain superfamily__F-box-like domain superfamily__F-box domain	-__GO:0005515__GO:0005515
CopciAB_460475.T0	IPR000719__IPR008271__IPR011009	Protein kinase domain__Serine/threonine-protein kinase, active site__Protein kinase-like domain superfamily	GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__-
CopciAB_460477.T0	IPR036899__IPR005822__IPR005823	Ribosomal protein L13 superfamily__Ribosomal protein L13__Ribosomal protein L13, bacterial-type	GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412
CopciAB_460569.T0	IPR046700__IPR025476	Domain of unknown function DUF6570__Helitron helicase-like domain	-__-
CopciAB_460640.T0	IPR009598	Bladder cancer-related BC10	-
CopciAB_460718.T0	IPR000544__IPR045864__IPR004143__IPR020605	Octanoyltransferase__Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)__Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain__Octanoyltransferase, conserved site	GO:0009249|GO:0033819__-__GO:0036211__GO:0009249|GO:0033819
CopciAB_460886.T0	IPR006603__IPR016817	PQ-loop repeat__Mannose-P-dolichol utilization defect 1 protein	-__-
CopciAB_460942.T0	IPR000589__IPR005290__IPR009068	Ribosomal protein S15__Ribosomal protein S15, bacterial-type__S15/NS1, RNA-binding	GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412__-
CopciAB_460949.T0	IPR040976__IPR011009	Fungal-type protein kinase__Protein kinase-like domain superfamily	-__-
CopciAB_461075.T0	IPR019821__IPR027640__IPR001752__IPR027417__IPR019734__IPR036961	Kinesin motor domain, conserved site__Kinesin-like protein__Kinesin motor domain__P-loop containing nucleoside triphosphate hydrolase__Tetratricopeptide repeat__Kinesin motor domain superfamily	GO:0003777|GO:0005524|GO:0007018__GO:0003777|GO:0007018__GO:0003777|GO:0005524|GO:0007018|GO:0008017__-__GO:0005515__-
CopciAB_461236.T0	IPR023213	Chloramphenicol acetyltransferase-like domain superfamily	-
CopciAB_461263.T0	IPR029044__IPR002495	Nucleotide-diphospho-sugar transferases__Glycosyl transferase, family 8	-__GO:0016757
CopciAB_461274.T0	IPR030224__IPR013809__IPR002558__IPR011417__IPR035964__IPR008942	Sla2 family__ENTH domain__I/LWEQ domain__AP180 N-terminal homology (ANTH) domain__I/LWEQ domain superfamily__ENTH/VHS	GO:0006897|GO:0030276__-__GO:0003779__GO:0005543__GO:0003779__-
CopciAB_461288.T0	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	GO:0006629|GO:0008081
CopciAB_461290.T0	IPR022591__IPR040240	Transcription initiation factor TFIID subunit 1, histone acetyltransferase domain__Transcription initiation factor TFIID subunit 1	-__GO:0001091|GO:0004402|GO:0005669|GO:0006366|GO:0017025
CopciAB_461315.T0	IPR034646__IPR004147__IPR011009	ADCK3-like domain__ABC1 atypical kinase-like domain__Protein kinase-like domain superfamily	-__-__-
CopciAB_461318.T0	IPR012677__IPR000504__IPR035979	Nucleotide-binding alpha-beta plait domain superfamily__RNA recognition motif domain__RNA-binding domain superfamily	-__GO:0003723__GO:0003676
CopciAB_461371.T0	IPR036873__IPR001763	Rhodanese-like domain superfamily__Rhodanese-like domain	-__-
CopciAB_461397.T0	IPR000719__IPR011009	Protein kinase domain__Protein kinase-like domain superfamily	GO:0004672|GO:0005524|GO:0006468__-
CopciAB_461406.T0	IPR004841__IPR004840	Amino acid permease/ SLC12A domain__Amino acid permease, conserved site	GO:0016020|GO:0055085__GO:0006865|GO:0016020|GO:0055085
CopciAB_461414.T0	IPR006984__IPR029060	rRNA-processing protein Fcf1/Utp23__PIN-like domain superfamily	GO:0032040__-
CopciAB_461421.T0	IPR036915__IPR004367__IPR006671__IPR039361__IPR013763	Cyclin-like superfamily__Cyclin, C-terminal domain__Cyclin, N-terminal__Cyclin__Cyclin-like domain	-__-__-__-__-
CopciAB_461481.T0	IPR013121__IPR039261__IPR013130__IPR000778__IPR013112__IPR017938__IPR017927	Ferric reductase, NAD binding domain__Ferredoxin-NADP reductase (FNR), nucleotide-binding domain__Ferric reductase transmembrane component-like domain__Cytochrome b245, heavy chain__FAD-binding 8__Riboflavin synthase-like beta-barrel__FAD-binding domain, ferredoxin reductase-type	GO:0016491__-__-__GO:0016020|GO:0016491__GO:0016491__-__GO:0016491
CopciAB_461486.T0	IPR036866__IPR011084	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like__DNA repair metallo-beta-lactamase	-__-
CopciAB_461496.T0	IPR000254__IPR035971	Cellulose-binding domain, fungal__Cellulose-binding domain superfamily	GO:0005576|GO:0005975|GO:0030248__GO:0005576|GO:0005975|GO:0030248
CopciAB_461529.T0	IPR037047__IPR010400__IPR045099__IPR008979	PITH domain superfamily__PITH domain__PITH domain-containing protein 1-like__Galactose-binding-like domain superfamily	-__-__-__-
CopciAB_461533.T0	IPR013087__IPR036236	Zinc finger C2H2-type__Zinc finger C2H2 superfamily	-__-
CopciAB_461610.T0	IPR027359__IPR005821	Voltage-dependent channel domain superfamily__Ion transport domain	-__GO:0005216|GO:0006811|GO:0016020|GO:0055085
CopciAB_461642.T0	IPR010619__IPR024528	Threonine/serine exporter-like, N-terminal domain__Threonine/Serine exporter, ThrE	GO:0022857|GO:0055085__-
CopciAB_461672.T0	IPR007262	Vps55/LEPROT	-
CopciAB_461678.T0	IPR019927__IPR019926__IPR009000__IPR000597	Ribosomal protein L3, bacterial/organelle-type__Ribosomal protein L3, conserved site__Translation protein, beta-barrel domain superfamily__Ribosomal protein L3	GO:0003735|GO:0005840|GO:0006412__-__-__GO:0003735|GO:0005840|GO:0006412
CopciAB_461684.T0	IPR001247__IPR036345__IPR020568__IPR027408__IPR015847	Exoribonuclease, phosphorolytic domain 1__Exoribonuclease, PH domain 2 superfamily__Ribosomal protein S5 domain 2-type fold__PNPase/RNase PH domain superfamily__Exoribonuclease, phosphorolytic domain 2	-__-__-__-__-
CopciAB_461686.T0	IPR029069	HotDog domain superfamily	-
CopciAB_461688.T0	IPR014908__IPR037624__IPR015943__IPR007187	Nucleoporin, Nup133/Nup155-like, N-terminal__Nuclear pore complex protein Nup133-like__WD40/YVTN repeat-like-containing domain superfamily__Nucleoporin, Nup133/Nup155-like, C-terminal	-__GO:0017056__GO:0005515__-
CopciAB_461698.T0	IPR036908__IPR009009	RlpA-like domain superfamily__RlpA-like protein, double-psi beta-barrel domain	-__-
CopciAB_461705.T0	IPR016193__IPR002125	Cytidine deaminase-like__Cytidine and deoxycytidylate deaminase domain	GO:0003824__-
CopciAB_461716.T0	IPR002220__IPR013785	DapA-like__Aldolase-type TIM barrel	GO:0016829__-
CopciAB_461725.T0	IPR007808__IPR038567	Transcription elongation factor 1__Transcription elongation factor 1 superfamily	-__-
CopciAB_461737.T0	IPR006195__IPR004530__IPR036690__IPR045864__IPR005121__IPR002319	Aminoacyl-tRNA synthetase, class II__Phenylalanyl-tRNA synthetase, class IIc, mitochondrial__Ferrodoxin-fold anticodon-binding domain superfamily__Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)__Ferrodoxin-fold anticodon-binding domain__Phenylalanyl-tRNA synthetase	-__GO:0000166|GO:0004826|GO:0005524|GO:0005737|GO:0006432__-__-__-__GO:0000049|GO:0004812|GO:0005524|GO:0043039
CopciAB_461739.T0	IPR000559__IPR020867__IPR000672__IPR027417__IPR020630__IPR046346__IPR020628__IPR036291__IPR020631	Formate-tetrahydrofolate ligase, FTHFS__Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site__Tetrahydrofolate dehydrogenase/cyclohydrolase__P-loop containing nucleoside triphosphate hydrolase__Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain__Aminoacid dehydrogenase-like, N-terminal domain superfamily__Formate-tetrahydrofolate ligase, FTHFS, conserved site__NAD(P)-binding domain superfamily__Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	GO:0004329|GO:0005524__GO:0003824__GO:0004488__-__GO:0004488__-__GO:0005524__-__GO:0004488
CopciAB_461757.T0	IPR001214__IPR046341__IPR044429	SET domain__SET domain superfamily__SETD4, SET domain	GO:0005515__-__GO:0016279|GO:0018023
CopciAB_461761.T0	IPR029058__IPR000073	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-1	-__-
CopciAB_461763.T0	IPR001911	Ribosomal protein S21	GO:0003735|GO:0005840|GO:0006412
CopciAB_461769.T0	IPR002467__IPR000994__IPR031615__IPR036005__IPR001714	Peptidase M24A, methionine aminopeptidase, subfamily 1__Peptidase M24__MYND-like zinc finger__Creatinase/aminopeptidase-like__Peptidase M24, methionine aminopeptidase	GO:0006508|GO:0070006__-__-__-__-
CopciAB_461787.T0	IPR008778__IPR012093__IPR003829__IPR011051__IPR014710	Pirin, C-terminal domain__Pirin__Pirin, N-terminal domain__RmlC-like cupin domain superfamily__RmlC-like jelly roll fold	-__-__-__-__-
CopciAB_461794.T0	IPR013248	Secretory component protein Psh3/Shr3	-
CopciAB_461802.T0	IPR013665	Sfi1 spindle body	-
CopciAB_461860.T0	IPR007110	Immunoglobulin-like domain	-
CopciAB_461862.T0	IPR000898__IPR037217	Indoleamine 2,3-dioxygenase__Tryptophan/Indoleamine 2,3-dioxygenase-like	GO:0020037__GO:0019441|GO:0020037|GO:0046872
CopciAB_461864.T0	IPR000938__IPR032675__IPR044994__IPR001611__IPR036859	CAP Gly-rich domain__Leucine-rich repeat domain superfamily__Tubulin-specific chaperone E__Leucine-rich repeat__CAP Gly-rich domain superfamily	-__-__GO:0006457|GO:0043014__GO:0005515__-
CopciAB_461884.T0	IPR011009__IPR000719__IPR008271__IPR000961	Protein kinase-like domain superfamily__Protein kinase domain__Serine/threonine-protein kinase, active site__AGC-kinase, C-terminal	-__GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__GO:0004674|GO:0005524|GO:0006468
CopciAB_461885.T0	IPR043001__IPR009286	Inositol-pentakisphosphate 2-kinase, N-terminal lobe__Inositol-pentakisphosphate 2-kinase	-__GO:0005524|GO:0035299
CopciAB_461893.T0	IPR000086__IPR015797__IPR020084	NUDIX hydrolase domain__NUDIX hydrolase-like domain superfamily__NUDIX hydrolase, conserved site	-__-__GO:0016787
CopciAB_461914.T0	IPR014729__IPR004821	Rossmann-like alpha/beta/alpha sandwich fold__Cytidyltransferase-like domain	-__GO:0003824|GO:0009058
CopciAB_461921.T0	IPR003732__IPR023509	D-aminoacyl-tRNA deacylase DTD__D-aminoacyl-tRNA deacylase-like superfamily	GO:0002161|GO:0005737|GO:0051499__-
CopciAB_461925.T0	IPR001594	Palmitoyltransferase, DHHC domain	GO:0016409
CopciAB_461930.T0	IPR002889	Carbohydrate-binding WSC	-
CopciAB_461940.T0	IPR036568__IPR009288__IPR013024__IPR017939	Gamma-glutamyl cyclotransferase-like superfamily__Gamma-glutamylcyclotransferase, AIG2-like domain__Gamma-glutamyl cyclotransferase-like__Gamma-glutamylcyclotransferase	-__-__-__GO:0003839
CopciAB_461959.T0	IPR029058__IPR002921	Alpha/Beta hydrolase fold__Fungal lipase-like domain	-__GO:0006629
CopciAB_461982.T0	IPR023827__IPR034187__IPR010435__IPR013783__IPR015500__IPR036852__IPR023828__IPR022398__IPR000209	Peptidase S8, subtilisin, Asp-active site__PoSI-like peptidase domain__Fn3-like domain__Immunoglobulin-like fold__Peptidase S8, subtilisin-related__Peptidase S8/S53 domain superfamily__Peptidase S8, subtilisin, Ser-active site__Peptidase S8, subtilisin, His-active site__Peptidase S8/S53 domain	-__-__GO:0004252|GO:0005618|GO:0016020__-__-__GO:0004252|GO:0006508__-__-__GO:0006508|GO:0008236
CopciAB_461988.T0	IPR034751__IPR004910__IPR039058	Yippee domain__Yippee/Mis18/Cereblon__Yippee family	-__-__-
CopciAB_461999.T0	IPR001878__IPR036875__IPR042246	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__Zinc finger CCHC domain-containing protein 9	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_462000.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_462004.T0	IPR000719__IPR008271__IPR011009__IPR017441	Protein kinase domain__Serine/threonine-protein kinase, active site__Protein kinase-like domain superfamily__Protein kinase, ATP binding site	GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__-__GO:0005524
CopciAB_462018.T0	IPR003788__IPR038375__IPR029063	Protein arginine methyltransferase NDUFAF7__Protein arginine methyltransferase NDUFAF7 superfamily__S-adenosyl-L-methionine-dependent methyltransferase superfamily	-__-__-
CopciAB_462026.T0	IPR036691__IPR005135	Endonuclease/exonuclease/phosphatase superfamily__Endonuclease/exonuclease/phosphatase	-__GO:0003824
CopciAB_462040.T0	IPR046521	Protein of unknown function DUF6698	-
CopciAB_462049.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_462081.T0	IPR000254__IPR023296__IPR005193__IPR035971	Cellulose-binding domain, fungal__Glycosyl hydrolase, five-bladed beta-propellor domain superfamily__Glycoside hydrolase, family 62, arabinosidase__Cellulose-binding domain superfamily	GO:0005576|GO:0005975|GO:0030248__-__GO:0046373|GO:0046556__GO:0005576|GO:0005975|GO:0030248
CopciAB_462110.T0	IPR032675__IPR036047	Leucine-rich repeat domain superfamily__F-box-like domain superfamily	-__GO:0005515
CopciAB_462134.T0	IPR013810__IPR000851__IPR020568__IPR005324__IPR014721	Ribosomal protein S5, N-terminal__Ribosomal protein S5__Ribosomal protein S5 domain 2-type fold__Ribosomal protein S5, C-terminal__Ribosomal protein S5 domain 2-type fold, subgroup	GO:0003723|GO:0003735|GO:0005840|GO:0006412__GO:0003723|GO:0003735|GO:0005840|GO:0006412__-__GO:0003735|GO:0005840|GO:0006412__-
CopciAB_462137.T0	IPR000719__IPR011009__IPR008271__IPR017441	Protein kinase domain__Protein kinase-like domain superfamily__Serine/threonine-protein kinase, active site__Protein kinase, ATP binding site	GO:0004672|GO:0005524|GO:0006468__-__GO:0004672|GO:0006468__GO:0005524
CopciAB_462139.T0	IPR001248__IPR026030	Purine-cytosine permease__Purine-cytosine permease Fcy2/21/22	GO:0016020|GO:0022857|GO:0055085__GO:0016020|GO:0022857|GO:0055085
CopciAB_462143.T0	IPR025977__IPR016024__IPR027165__IPR011989	Nuclear condensin complex subunit 3, C-terminal domain__Armadillo-type fold__Condensin complex subunit 3__Armadillo-like helical	-__-__GO:0000796|GO:0007076__-
CopciAB_462154.T0	IPR000719__IPR008271__IPR011009	Protein kinase domain__Serine/threonine-protein kinase, active site__Protein kinase-like domain superfamily	GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__-
CopciAB_462184.T0	IPR001680__IPR015943__IPR045260__IPR036322	WD40 repeat__WD40/YVTN repeat-like-containing domain superfamily__Guanine nucleotide-exchange factor Sec12-like__WD40-repeat-containing domain superfamily	GO:0005515__GO:0005515__GO:0005085__GO:0005515
CopciAB_462186.T0	IPR001128__IPR036396__IPR002401__IPR017972	Cytochrome P450__Cytochrome P450 superfamily__Cytochrome P450, E-class, group I__Cytochrome P450, conserved site	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705
CopciAB_462190.T0	IPR023333__IPR029055__IPR016050__IPR001353__IPR000243	Proteasome B-type subunit__Nucleophile aminohydrolases, N-terminal__Proteasome beta-type subunit, conserved site__Proteasome, subunit alpha/beta__Peptidase T1A, proteasome beta-subunit	-__-__GO:0005839|GO:0051603__GO:0005839|GO:0051603__GO:0004298|GO:0005839|GO:0051603
CopciAB_462196.T0	IPR018858	Protein of unknown function DUF2458	-
CopciAB_462200.T0	IPR009959__IPR032710__IPR037401	Polyketide cyclase SnoaL-like__NTF2-like domain superfamily__SnoaL-like domain	GO:0030638__-__-
CopciAB_462226.T0	IPR042829__IPR036291	3-keto-steroid reductase__NAD(P)-binding domain superfamily	GO:0000253|GO:0006694__-
CopciAB_462238.T0	IPR007042__IPR013087__IPR039727__IPR035979__IPR021933	SERRATE/Ars2 , C-terminal__Zinc finger C2H2-type__SERRATE/Ars2__RNA-binding domain superfamily__SERRATE/Ars2, N-terminal	-__-__GO:0006397__GO:0003676__-
CopciAB_462272.T0	IPR018535	Domain of unknown function DUF1996	-
CopciAB_462285.T0	IPR006913__IPR011057	CENP-V/GFA domain__Mss4-like superfamily	GO:0016846__-
CopciAB_462286.T0	IPR040241__IPR010308	Transient receptor potential channel Flc/Pkd2-like__TRP, C-terminal	-__-
CopciAB_462292.T0	IPR002893	Zinc finger, MYND-type	-
CopciAB_462294.T0	IPR009071__IPR036910	High mobility group box domain__High mobility group box domain superfamily	-__-
CopciAB_462297.T0	IPR002645__IPR001902__IPR036513__IPR011547	STAS domain__SLC26A/SulP transporter__STAS domain superfamily__SLC26A/SulP transporter domain	-__GO:0016020|GO:0055085__-__GO:0016020
CopciAB_462300.T0	IPR008758__IPR029058	Peptidase S28__Alpha/Beta hydrolase fold	GO:0006508|GO:0008236__-
CopciAB_462328.T0	IPR012535	Cell division protein Cdc14	-
CopciAB_462331.T0	IPR006575__IPR016135__IPR001498__IPR023582__IPR020568__IPR036956	RWD domain__Ubiquitin-conjugating enzyme/RWD-like__Impact, N-terminal__Impact family__Ribosomal protein S5 domain 2-type fold__Impact, N-terminal domain superfamily	GO:0005515__-__-__-__-__-
CopciAB_462336.T0	IPR036915__IPR000812__IPR013137__IPR013150__IPR023486__IPR013763	Cyclin-like superfamily__Transcription factor TFIIB__Zinc finger, TFIIB-type__Transcription factor TFIIB, cyclin-like domain__Transcription factor TFIIB, conserved site__Cyclin-like domain	-__GO:0006352|GO:0070897__-__GO:0017025__-__-
CopciAB_462371.T0	IPR004552__IPR002123	1-acyl-sn-glycerol-3-phosphate acyltransferase__Phospholipid/glycerol acyltransferase	GO:0003841|GO:0008654|GO:0016020__GO:0016746
CopciAB_462391.T0	IPR007991	RNA polymerase I specific transcription initiation factor RRN3	GO:0001181|GO:0006361
CopciAB_462412.T0	IPR002410__IPR000073__IPR029058	Peptidase S33__Alpha/beta hydrolase fold-1__Alpha/Beta hydrolase fold	GO:0006508|GO:0008233__-__-
CopciAB_462447.T0	IPR043129	ATPase, nucleotide binding domain	-
CopciAB_462453.T0	IPR004313__IPR014710__IPR011051__IPR027496	Acireductone dioxygenase ARD family__RmlC-like jelly roll fold__RmlC-like cupin domain superfamily__Acireductone dioxygenase, eukaryotes	GO:0010309__-__-__GO:0016491|GO:0019509
CopciAB_462495.T0	IPR013780__IPR025887__IPR011013__IPR000322__IPR017853__IPR031727	Glycosyl hydrolase, all-beta__Glycoside hydrolase family 31, N-terminal domain__Galactose mutarotase-like domain superfamily__Glycoside hydrolase family 31__Glycoside hydrolase superfamily__Galactose mutarotase, N-terminal barrel	-__-__GO:0003824|GO:0005975|GO:0030246__GO:0004553|GO:0005975__-__-
CopciAB_462501.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_462534.T0	IPR001810__IPR032675	F-box domain__Leucine-rich repeat domain superfamily	GO:0005515__-
CopciAB_462559.T0	IPR018816__IPR019134	Splicing factor cactin, central domain__Splicing factor Cactin, C-terminal	-__GO:0005515
CopciAB_462581.T0	IPR018535__IPR000254__IPR035971	Domain of unknown function DUF1996__Cellulose-binding domain, fungal__Cellulose-binding domain superfamily	-__GO:0005576|GO:0005975|GO:0030248__GO:0005576|GO:0005975|GO:0030248
CopciAB_462583.T0	IPR018535	Domain of unknown function DUF1996	-
CopciAB_462585.T0	IPR018535	Domain of unknown function DUF1996	-
CopciAB_462618.T0	IPR024079__IPR008754	Metallopeptidase, catalytic domain superfamily__Peptidase M43, pregnancy-associated plasma-A	GO:0008237__-
CopciAB_462625.T0	IPR012334__IPR011050__IPR000743	Pectin lyase fold__Pectin lyase fold/virulence factor__Glycoside hydrolase, family 28	-__-__GO:0004650|GO:0005975
CopciAB_462682.T0	IPR021331	Hypervirulence associated protein, TUDOR domain	-
CopciAB_462684.T0	IPR036928__IPR023631	Amidase signature (AS) superfamily__Amidase signature domain	-__-
CopciAB_462689.T0	IPR021765	Mycotoxin biosynthesis protein UstYa-like	GO:0043386
CopciAB_462698.T0	IPR005011__IPR045347	SNU66/SART1 family__HIND motif	GO:0000398__GO:0000398|GO:0046540
CopciAB_462709.T0	IPR004331__IPR018966__IPR042267__IPR003807	SPX domain__VTC domain__VTC domain superfamily__Domain of unknown function DUF202	-__-__-__-
CopciAB_462713.T0	IPR001138__IPR021858__IPR036864	Zn(2)Cys(6) fungal-type DNA-binding domain__Fungal transcription factor__Zn(2)-C6 fungal-type DNA-binding domain superfamily	GO:0000981|GO:0006355|GO:0008270__-__GO:0000981|GO:0006355|GO:0008270
CopciAB_462732.T0	IPR036396__IPR001128__IPR002401	Cytochrome P450 superfamily__Cytochrome P450__Cytochrome P450, E-class, group I	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_462738.T0	IPR015912__IPR035966__IPR009161__IPR022953__IPR000023	Phosphofructokinase, conserved site__Phosphofructokinase superfamily__ATP-dependent 6-phosphofructokinase, eukaryotic-type__ATP-dependent 6-phosphofructokinase__Phosphofructokinase domain	GO:0003872|GO:0006096__GO:0003872|GO:0006096__GO:0003872|GO:0005524|GO:0005737|GO:0006096__GO:0003872|GO:0006002|GO:0006096__GO:0003872|GO:0006096
CopciAB_462750.T0	IPR001722__IPR037019__IPR013320	Glycoside hydrolase, family 7__Glycoside hydrolase family 7, catalytic domain superfamily__Concanavalin A-like lectin/glucanase domain superfamily	GO:0004553|GO:0005975__GO:0004553|GO:0005975__-
CopciAB_462752.T0	IPR001722__IPR013320__IPR037019	Glycoside hydrolase, family 7__Concanavalin A-like lectin/glucanase domain superfamily__Glycoside hydrolase family 7, catalytic domain superfamily	GO:0004553|GO:0005975__-__GO:0004553|GO:0005975
CopciAB_462754.T0	IPR010721	Probable O-methyltransferase UstE-like	-
CopciAB_462760.T0	IPR001806__IPR005225__IPR027417__IPR020849	Small GTPase__Small GTP-binding protein domain__P-loop containing nucleoside triphosphate hydrolase__Small GTPase, Ras-type	GO:0003924|GO:0005525__GO:0005525__-__GO:0005525|GO:0007165|GO:0016020
CopciAB_462791.T0	IPR015943__IPR001680__IPR036322	WD40/YVTN repeat-like-containing domain superfamily__WD40 repeat__WD40-repeat-containing domain superfamily	GO:0005515__GO:0005515__GO:0005515
